transaction_id,amount,location,location_match,previous_fraud,payment_method,device_type,transactions_last_1h,transactions_last_24h,transaction_hour,merchant_category,account_age_days,is_international,is_fraud
TXN00000024,166.9,Delhi,True,0,upi,mobile,1,4,2,Travel,1734,0,0
TXN00000025,439.57,Mumbai,True,0,wallet,mobile,0,4,1,Grocery,722,0,0
TXN00000026,903.82,Bangalore,True,0,netbanking,tablet,3,11,13,Utilities,845,0,0
TXN00000027,225.54,Kolkata,True,0,card,mobile,2,7,21,Grocery,81,0,0
TXN00000028,1209.4,Pune,True,0,card,desktop,1,8,14,Food,1273,0,0
TXN00000029,413.19,Chennai,True,0,upi,mobile,0,12,1,Fashion,182,0,0
TXN00000030,580.42,Pune,True,0,card,mobile,1,5,8,Utilities,1113,0,0
TXN00000031,412.71,Ahmedabad,True,0,card,mobile,2,8,19,Electronics,1894,0,0
TXN00000032,6137.16,Ahmedabad,True,0,upi,desktop,2,8,3,Grocery,362,1,0
TXN00000033,788.21,Delhi,True,0,upi,mobile,3,9,12,Food,201,0,0
TXN00000034,249.92,Bangalore,True,0,wallet,mobile,1,14,9,Fashion,19,0,0
TXN00000035,1977.15,Delhi,True,0,upi,mobile,0,7,23,Entertainment,1614,0,0
TXN00000036,208.86,Kolkata,True,0,card,mobile,1,9,11,Utilities,615,0,0
TXN00000037,1006.63,Chennai,True,0,upi,desktop,2,11,17,Travel,139,0,0
TXN00000038,92.66,Kolkata,True,0,upi,mobile,0,10,13,Fashion,798,0,0
TXN00000039,185.6,Ahmedabad,True,0,netbanking,tablet,2,10,21,Entertainment,681,0,0
TXN00000040,993.43,Ahmedabad,True,0,upi,desktop,2,9,7,Grocery,1110,0,0
TXN00000041,1802.49,Mumbai,True,0,card,desktop,0,9,1,Electronics,852,1,0
TXN00000042,965.95,Ahmedabad,True,0,upi,mobile,1,4,15,Utilities,1133,0,0
TXN00000043,704.44,Chennai,True,0,upi,mobile,2,3,9,Grocery,1895,0,0
TXN00000044,574.44,Mumbai,False,0,wallet,mobile,3,10,4,Utilities,1855,0,0
TXN00000045,157.31,Mumbai,True,0,card,mobile,1,5,11,Food,1295,0,0
TXN00000046,362.41,Chennai,True,0,wallet,mobile,2,13,15,Travel,85,0,0
TXN00000047,481.98,Chennai,True,0,wallet,mobile,1,5,6,Food,1713,0,0
TXN00000048,2559.19,Delhi,True,0,wallet,tablet,1,9,2,Fashion,1370,0,0
TXN00000049,1167.47,Bangalore,True,0,netbanking,mobile,0,7,0,Entertainment,119,0,0
TXN00000050,115.04,Chennai,True,0,upi,mobile,4,6,14,Grocery,892,0,0
TXN00000051,1142.65,Hyderabad,True,0,wallet,desktop,4,5,12,Grocery,1615,0,0
TXN00000052,523.75,Pune,True,0,upi,mobile,1,6,15,Travel,134,0,0
TXN00000053,379.93,Hyderabad,True,0,upi,mobile,1,10,12,Entertainment,1179,1,0
TXN00000054,1567.84,Ahmedabad,True,0,upi,mobile,1,9,22,Travel,1316,0,0
TXN00000055,2486.7,Bangalore,True,0,upi,mobile,3,5,23,Entertainment,527,0,0
TXN00000056,2228.36,Kolkata,True,0,card,mobile,1,7,2,Fashion,587,1,0
TXN00000057,317.82,Chennai,True,0,upi,mobile,0,9,6,Entertainment,1308,0,0
TXN00000058,569.34,Delhi,True,0,upi,mobile,4,8,15,Fashion,728,0,0
TXN00000059,1151.71,Delhi,True,0,card,mobile,2,8,17,Food,1950,0,0
TXN00000060,2339.54,Chennai,True,0,upi,mobile,3,8,4,Travel,169,0,0
TXN00000061,472.26,Delhi,True,0,netbanking,mobile,1,12,23,Travel,283,0,0
TXN00000062,652.22,Mumbai,True,0,upi,mobile,1,6,4,Food,1002,0,0
TXN00000063,236.9,Mumbai,True,0,upi,mobile,2,12,5,Entertainment,1735,0,0
TXN00000064,214.6,Mumbai,True,0,upi,desktop,2,10,12,Fashion,1154,0,0
TXN00000065,1955.48,Hyderabad,True,0,upi,mobile,0,7,3,Grocery,274,0,0
TXN00000066,3556.3,Ahmedabad,True,0,card,mobile,2,7,8,Electronics,1982,0,0
TXN00000067,739.08,Chennai,True,0,card,tablet,1,7,2,Fashion,1603,0,0
TXN00000068,2412.69,Chennai,True,0,upi,desktop,1,6,21,Utilities,1685,0,0
TXN00000069,1190.84,Kolkata,True,1,upi,mobile,3,9,18,Entertainment,96,0,0
TXN00000070,393.46,Pune,True,0,upi,tablet,0,4,21,Grocery,318,1,0
TXN00000071,1190.52,Delhi,True,0,wallet,mobile,3,15,6,Grocery,1696,0,0
TXN00000072,4343.57,Delhi,True,0,upi,tablet,0,9,17,Electronics,1426,0,0
TXN00000073,769.09,Hyderabad,True,0,netbanking,mobile,5,7,20,Fashion,557,0,0
TXN00000074,4472.58,Kolkata,True,0,card,mobile,0,10,8,Entertainment,1834,0,0
TXN00000075,50.0,Kolkata,True,0,upi,desktop,1,8,12,Utilities,1153,0,0
TXN00000076,1975.75,Chennai,True,0,wallet,mobile,0,9,3,Electronics,1071,0,0
TXN00000077,880.39,Pune,True,0,netbanking,mobile,0,11,12,Grocery,574,0,0
TXN00000078,575.77,Pune,True,0,card,desktop,2,9,7,Travel,10,0,0
TXN00000079,884.97,Hyderabad,True,0,upi,mobile,1,12,22,Grocery,1491,1,0
TXN00000080,89.86,Delhi,True,0,card,tablet,1,11,0,Travel,1712,0,0
TXN00000081,628.27,Bangalore,True,0,upi,mobile,0,9,10,Entertainment,1177,1,0
TXN00000082,1184.93,Kolkata,True,0,upi,desktop,1,8,22,Fashion,697,0,0
TXN00000083,4065.51,Bangalore,True,0,netbanking,mobile,0,2,20,Travel,27,0,0
TXN00000084,452.38,Pune,True,0,netbanking,mobile,1,13,4,Utilities,732,0,0
TXN00000085,328.74,Kolkata,True,0,upi,mobile,4,9,13,Entertainment,1117,0,0
TXN00000086,460.67,Ahmedabad,True,0,netbanking,desktop,1,6,9,Food,1012,0,0
TXN00000087,2189.77,Pune,True,0,card,mobile,1,9,12,Electronics,217,0,0
TXN00000088,1148.53,Delhi,True,0,upi,mobile,2,7,22,Utilities,954,1,0
TXN00000089,446.69,Pune,True,0,upi,mobile,2,6,20,Travel,1359,0,0
TXN00000090,1406.99,Ahmedabad,True,0,upi,mobile,1,5,22,Electronics,362,1,0
TXN00000091,890.16,Hyderabad,True,0,netbanking,mobile,1,7,4,Travel,1044,0,0
TXN00000092,2321.85,Bangalore,True,0,netbanking,desktop,2,8,4,Food,1322,0,0
TXN00000093,369.57,Kolkata,True,0,upi,mobile,2,9,20,Food,1076,0,0
TXN00000094,557.9,Bangalore,True,0,card,mobile,3,9,19,Food,348,0,0
TXN00000095,519.72,Pune,True,0,netbanking,tablet,3,6,20,Grocery,1716,1,0
TXN00000096,159.93,Hyderabad,True,0,netbanking,mobile,1,11,13,Electronics,86,0,0
TXN00000097,1108.04,Ahmedabad,True,0,upi,tablet,1,8,11,Travel,1968,0,0
TXN00000098,1066.11,Chennai,True,0,card,tablet,2,8,0,Travel,1460,0,0
TXN00000099,804.51,Pune,True,0,netbanking,mobile,2,9,11,Entertainment,1715,0,0
TXN00000100,618.05,Pune,True,0,upi,tablet,4,15,5,Travel,1157,0,0
TXN00000101,168.63,Chennai,True,0,upi,mobile,2,7,7,Fashion,1570,0,0
TXN00000102,503.66,Ahmedabad,True,0,netbanking,tablet,0,8,22,Grocery,169,0,0
TXN00000103,548.74,Hyderabad,True,0,upi,mobile,4,12,7,Travel,682,0,0
TXN00000104,331.0,Hyderabad,True,0,netbanking,mobile,4,8,2,Electronics,44,0,0
TXN00000105,669.95,Mumbai,True,0,upi,desktop,1,8,6,Electronics,1947,1,0
TXN00000106,1247.71,Kolkata,True,0,upi,desktop,0,9,21,Travel,483,0,0
TXN00000107,6370.39,Bangalore,True,0,upi,mobile,0,9,14,Fashion,1088,0,0
TXN00000108,969.37,Pune,True,0,upi,mobile,4,11,3,Fashion,1874,0,0
TXN00000109,1062.01,Delhi,True,0,upi,mobile,0,6,9,Utilities,557,0,0
TXN00000110,737.1,Pune,True,0,card,desktop,2,11,7,Entertainment,1334,0,0
TXN00000111,96.93,Pune,True,0,upi,mobile,2,5,16,Electronics,1219,0,0
TXN00000112,777.0,Delhi,True,0,wallet,desktop,1,7,16,Utilities,1352,0,0
TXN00000113,854.8,Chennai,True,0,card,mobile,0,4,12,Electronics,205,0,0
TXN00000114,12018.21,Bangalore,True,0,card,mobile,3,7,5,Electronics,1196,0,1
TXN00000115,647.43,Mumbai,True,0,upi,mobile,0,3,9,Entertainment,134,0,0
TXN00000116,1114.67,Hyderabad,True,0,card,desktop,2,5,13,Electronics,714,0,0
TXN00000117,770.03,Mumbai,True,0,card,tablet,2,12,12,Electronics,487,0,0
TXN00000118,221.2,Pune,True,0,upi,mobile,1,10,11,Food,729,0,0
TXN00000119,2812.18,Pune,True,0,netbanking,tablet,2,12,9,Electronics,930,0,0
TXN00000120,1829.39,Kolkata,True,0,upi,tablet,2,9,9,Fashion,1515,0,0
TXN00000121,1909.79,Delhi,True,0,upi,desktop,0,7,17,Grocery,1616,0,0
TXN00000122,294.21,Chennai,True,0,card,desktop,1,6,4,Travel,314,0,0
TXN00000123,3743.16,Delhi,True,0,card,desktop,1,6,21,Electronics,994,0,0
TXN00000124,171.16,Pune,True,0,upi,mobile,1,8,16,Utilities,1829,0,0
TXN00000125,1525.62,Mumbai,False,0,netbanking,mobile,0,6,3,Grocery,495,0,0
TXN00000126,8902.73,Kolkata,True,0,card,desktop,0,4,22,Travel,758,0,0
TXN00000127,269.08,Mumbai,True,0,card,tablet,0,8,21,Entertainment,573,0,0
TXN00000128,429.1,Bangalore,True,0,upi,mobile,0,6,3,Electronics,753,0,0
TXN00000129,892.68,Chennai,True,0,wallet,desktop,0,7,11,Travel,1499,0,0
TXN00000130,459.8,Ahmedabad,True,0,upi,desktop,0,10,11,Travel,1046,0,0
TXN00000131,145.31,Pune,True,0,card,mobile,0,13,23,Travel,1832,0,0
TXN00000132,862.67,Chennai,True,0,upi,mobile,3,9,15,Utilities,730,0,0
TXN00000133,248.66,Hyderabad,True,0,card,desktop,2,5,18,Entertainment,886,0,0
TXN00000134,1346.9,Hyderabad,True,0,upi,mobile,1,10,16,Grocery,1886,0,0
TXN00000135,290.98,Mumbai,True,0,upi,mobile,1,12,20,Entertainment,39,0,0
TXN00000136,4400.79,Delhi,True,0,netbanking,mobile,3,8,20,Fashion,1219,0,0
TXN00000137,338.0,Delhi,True,0,upi,desktop,1,14,14,Electronics,15,0,0
TXN00000138,561.35,Mumbai,True,0,upi,mobile,3,15,3,Grocery,1501,1,1
TXN00000139,1957.61,Bangalore,True,0,card,desktop,2,6,1,Travel,1248,0,0
TXN00000140,206.57,Pune,True,0,card,mobile,1,3,14,Electronics,1885,0,0
TXN00000141,1027.43,Ahmedabad,True,0,upi,mobile,1,5,16,Food,76,0,0
TXN00000142,3369.33,Hyderabad,True,0,upi,mobile,2,10,2,Entertainment,1476,0,0
TXN00000143,136.51,Mumbai,True,0,wallet,desktop,5,5,12,Grocery,919,0,1
TXN00000144,980.15,Chennai,True,0,card,mobile,3,7,11,Electronics,917,0,0
TXN00000145,1064.74,Delhi,True,0,upi,mobile,2,7,20,Utilities,1037,0,0
TXN00000146,1890.54,Pune,True,0,netbanking,desktop,1,7,23,Entertainment,1818,0,0
TXN00000147,205.2,Hyderabad,True,0,card,desktop,2,4,13,Entertainment,1162,0,0
TXN00000148,187.19,Bangalore,True,0,upi,mobile,1,10,17,Entertainment,1886,0,0
TXN00000149,1420.48,Mumbai,True,0,upi,mobile,0,9,22,Travel,1129,0,0
TXN00000150,1109.09,Pune,True,0,upi,mobile,0,14,6,Fashion,769,0,0
TXN00000151,1053.8,Chennai,True,0,netbanking,mobile,1,5,14,Fashion,748,0,0
TXN00000152,1171.11,Hyderabad,True,1,upi,mobile,3,7,1,Fashion,617,0,1
TXN00000153,378.64,Bangalore,True,0,upi,mobile,3,12,10,Fashion,1841,0,0
TXN00000154,1032.86,Delhi,True,0,netbanking,mobile,2,9,10,Fashion,1945,0,0
TXN00000155,1104.33,Pune,True,0,upi,mobile,3,4,16,Electronics,793,0,0
TXN00000156,364.61,Chennai,True,0,card,mobile,4,6,4,Food,292,0,0
TXN00000157,6228.95,Ahmedabad,True,0,upi,mobile,1,5,7,Electronics,1393,1,0
TXN00000158,1347.26,Mumbai,True,0,card,desktop,1,7,1,Food,783,0,0
TXN00000159,215.76,Hyderabad,True,0,upi,mobile,3,8,9,Food,261,0,0
TXN00000160,1647.18,Kolkata,False,0,upi,desktop,1,9,21,Electronics,1015,0,0
TXN00000161,273.82,Ahmedabad,True,0,card,desktop,2,6,18,Travel,1253,0,0
TXN00000162,1901.51,Kolkata,True,0,card,mobile,1,5,1,Travel,663,0,0
TXN00000163,2861.4,Delhi,True,0,card,mobile,1,10,3,Fashion,1089,0,0
TXN00000164,324.36,Chennai,True,0,card,mobile,2,7,3,Electronics,1378,0,0
TXN00000165,2308.44,Chennai,True,0,card,mobile,0,13,2,Travel,673,0,0
TXN00000166,1259.75,Ahmedabad,True,0,card,mobile,3,6,8,Electronics,53,0,0
TXN00000167,1976.09,Delhi,True,0,card,desktop,6,10,11,Fashion,775,0,0
TXN00000168,6445.16,Hyderabad,True,0,card,mobile,3,8,0,Grocery,1063,0,0
TXN00000169,610.75,Hyderabad,True,1,card,mobile,1,3,5,Utilities,482,0,0
TXN00000170,349.15,Hyderabad,True,1,card,tablet,2,5,14,Utilities,1983,0,0
TXN00000171,300.71,Pune,True,0,upi,mobile,3,10,2,Fashion,771,0,0
TXN00000172,326.11,Mumbai,True,0,upi,mobile,1,9,9,Food,1071,0,0
TXN00000173,734.95,Delhi,True,0,upi,mobile,3,6,5,Food,1723,0,0
TXN00000174,1164.3,Kolkata,True,0,wallet,tablet,1,9,23,Utilities,1403,0,0
TXN00000175,1084.61,Bangalore,True,0,netbanking,mobile,0,9,10,Food,1124,0,0
TXN00000176,1987.26,Hyderabad,True,0,card,mobile,1,9,3,Entertainment,1239,0,0
TXN00000177,811.52,Kolkata,True,0,upi,mobile,2,8,16,Travel,1746,0,0
TXN00000178,3958.02,Mumbai,True,0,upi,mobile,2,10,3,Travel,1589,0,0
TXN00000179,597.94,Bangalore,True,0,netbanking,mobile,2,11,21,Grocery,1671,0,0
TXN00000180,15943.36,Pune,True,0,netbanking,mobile,1,7,7,Travel,1361,1,0
TXN00000181,1592.16,Ahmedabad,True,0,upi,mobile,1,7,11,Utilities,945,0,0
TXN00000182,311.61,Delhi,True,0,netbanking,tablet,6,13,14,Utilities,1395,0,1
TXN00000183,246.32,Mumbai,True,0,upi,desktop,3,8,19,Fashion,617,0,0
TXN00000184,1360.12,Kolkata,False,0,upi,desktop,0,9,13,Food,1216,0,0
TXN00000185,625.66,Ahmedabad,True,0,card,mobile,0,5,15,Food,1187,0,0
TXN00000186,1754.63,Mumbai,True,0,card,mobile,2,5,20,Travel,554,0,0
TXN00000187,1346.38,Delhi,True,0,netbanking,mobile,3,9,23,Entertainment,270,0,0
TXN00000188,738.41,Delhi,True,0,upi,mobile,0,12,2,Grocery,1157,0,0
TXN00000189,315.18,Chennai,True,0,upi,mobile,2,8,7,Utilities,1567,0,0
TXN00000190,151.15,Kolkata,True,0,upi,mobile,2,12,8,Entertainment,790,0,0
TXN00000191,489.53,Hyderabad,True,0,upi,mobile,0,9,7,Grocery,62,0,0
TXN00000192,2052.16,Kolkata,True,0,card,mobile,2,9,0,Entertainment,1238,1,0
TXN00000193,1012.44,Ahmedabad,True,0,upi,mobile,1,4,23,Electronics,1815,0,0
TXN00000194,203.22,Delhi,True,0,upi,mobile,0,9,2,Entertainment,571,0,0
TXN00000195,967.88,Mumbai,True,0,upi,desktop,3,9,0,Electronics,66,0,0
TXN00000196,1222.26,Hyderabad,True,0,card,mobile,4,11,6,Entertainment,703,0,0
TXN00000197,302.59,Kolkata,True,0,card,tablet,4,11,23,Entertainment,1800,0,0
TXN00000198,947.39,Delhi,True,0,card,desktop,1,9,16,Grocery,571,0,0
TXN00000199,852.9,Ahmedabad,True,0,upi,desktop,1,11,19,Entertainment,1050,0,0
TXN00000200,227.54,Bangalore,True,0,upi,tablet,3,8,0,Grocery,1854,0,0
TXN00000201,1185.81,Kolkata,True,0,upi,mobile,0,8,4,Fashion,1583,0,0
TXN00000202,1482.48,Bangalore,True,0,upi,mobile,4,11,20,Food,1037,0,0
TXN00000203,2633.23,Delhi,True,0,upi,desktop,5,6,8,Entertainment,641,0,0
TXN00000204,2549.86,Chennai,True,0,upi,mobile,1,4,23,Utilities,1225,0,0
TXN00000205,175.77,Kolkata,True,0,card,mobile,1,10,3,Fashion,517,0,0
TXN00000206,285.15,Mumbai,True,0,wallet,mobile,3,5,2,Utilities,1073,1,1
TXN00000207,1409.73,Hyderabad,True,0,upi,mobile,1,16,11,Travel,1694,0,0
TXN00000208,1407.79,Chennai,False,0,netbanking,tablet,2,7,20,Grocery,128,1,0
TXN00000209,1409.75,Hyderabad,True,0,upi,mobile,2,17,23,Food,1633,0,0
TXN00000210,55415.6,Hyderabad,True,0,card,mobile,1,5,5,Electronics,1688,0,1
TXN00000211,1499.06,Pune,True,0,card,tablet,1,4,20,Entertainment,1809,0,0
TXN00000212,2789.82,Ahmedabad,True,0,wallet,mobile,1,6,23,Grocery,1024,1,0
TXN00000213,2284.75,Delhi,True,0,upi,desktop,0,6,14,Utilities,350,0,0
TXN00000214,1637.85,Chennai,True,0,upi,tablet,2,11,8,Entertainment,1658,1,0
TXN00000215,565.56,Pune,True,0,upi,desktop,2,7,18,Travel,1962,0,0
TXN00000216,1843.6,Chennai,True,0,upi,desktop,0,9,2,Electronics,321,0,0
TXN00000217,341.9,Pune,True,0,wallet,desktop,1,6,17,Electronics,584,0,0
TXN00000218,616.53,Bangalore,True,0,netbanking,desktop,1,6,0,Entertainment,349,0,0
TXN00000219,469.05,Hyderabad,True,0,card,mobile,2,11,14,Travel,1256,0,0
TXN00000220,875.39,Pune,True,0,card,mobile,2,8,2,Utilities,995,0,0
TXN00000221,10206.05,Kolkata,True,0,netbanking,mobile,1,8,15,Travel,1303,0,0
TXN00000222,102.58,Mumbai,True,0,upi,desktop,0,9,13,Travel,1925,0,0
TXN00000223,1701.9,Delhi,True,0,upi,mobile,2,10,7,Travel,1087,0,0
TXN00000224,135.72,Ahmedabad,True,0,netbanking,mobile,1,9,23,Grocery,1496,0,0
TXN00000225,476.03,Mumbai,True,0,upi,desktop,2,13,16,Food,1010,0,0
TXN00000226,2650.38,Ahmedabad,True,0,upi,desktop,0,5,8,Utilities,860,0,0
TXN00000227,858.61,Hyderabad,True,0,upi,desktop,1,10,0,Utilities,743,0,0
TXN00000228,244.47,Bangalore,False,0,card,mobile,3,6,7,Travel,139,0,0
TXN00000229,364.23,Mumbai,True,0,card,mobile,2,6,21,Utilities,248,0,0
TXN00000230,1689.47,Mumbai,True,0,upi,mobile,2,5,4,Utilities,132,0,0
TXN00000231,358.24,Chennai,True,0,card,mobile,1,10,5,Entertainment,335,1,0
TXN00000232,1015.07,Kolkata,True,0,netbanking,mobile,3,6,8,Fashion,1199,0,0
TXN00000233,841.13,Pune,True,0,wallet,desktop,0,5,10,Electronics,1624,0,0
TXN00000234,390.67,Mumbai,True,0,card,mobile,0,9,11,Entertainment,998,0,0
TXN00000235,8458.7,Bangalore,True,0,netbanking,mobile,2,10,22,Travel,222,0,0
TXN00000236,1606.68,Ahmedabad,True,0,netbanking,desktop,0,7,3,Food,264,1,0
TXN00000237,86.22,Ahmedabad,True,0,upi,mobile,3,8,17,Food,1848,0,0
TXN00000238,982.12,Mumbai,True,0,upi,desktop,2,13,1,Travel,1265,0,0
TXN00000239,386.31,Mumbai,True,0,card,tablet,1,7,21,Utilities,672,0,0
TXN00000240,2043.23,Ahmedabad,True,0,upi,mobile,1,12,19,Entertainment,1513,0,0
TXN00000241,334.57,Ahmedabad,True,0,upi,desktop,2,7,12,Entertainment,1114,0,0
TXN00000242,705.14,Hyderabad,True,0,card,desktop,1,9,14,Entertainment,1531,0,0
TXN00000243,1394.23,Chennai,True,0,upi,mobile,1,3,12,Fashion,456,0,0
TXN00000244,2073.39,Bangalore,True,0,upi,mobile,2,6,7,Food,1163,0,0
TXN00000245,213.64,Mumbai,True,0,card,mobile,1,8,23,Travel,44,0,0
TXN00000246,553.72,Hyderabad,True,0,card,mobile,2,13,18,Fashion,1820,0,0
TXN00000247,474.46,Delhi,True,0,netbanking,mobile,1,9,6,Travel,715,0,0
TXN00000248,389.92,Mumbai,True,0,card,mobile,2,9,12,Electronics,186,0,0
TXN00000249,5578.14,Mumbai,True,0,card,desktop,1,6,23,Electronics,770,0,0
TXN00000250,1248.99,Hyderabad,True,0,upi,desktop,1,13,19,Grocery,338,0,0
TXN00000251,199.86,Chennai,True,0,upi,mobile,1,12,1,Fashion,1148,0,0
TXN00000252,2195.71,Ahmedabad,True,0,upi,mobile,0,6,22,Grocery,406,0,0
TXN00000253,8258.38,Hyderabad,True,0,netbanking,desktop,2,6,17,Electronics,162,0,0
TXN00000254,2490.71,Kolkata,True,0,card,desktop,0,4,22,Grocery,388,0,0
TXN00000255,150.4,Hyderabad,True,0,netbanking,mobile,2,10,15,Electronics,471,0,0
TXN00000256,469.63,Ahmedabad,True,0,card,mobile,0,15,20,Food,693,0,0
TXN00000257,3223.47,Mumbai,False,0,upi,mobile,1,9,9,Utilities,1210,0,0
TXN00000258,367.3,Pune,True,0,card,mobile,1,4,22,Fashion,49,0,0
TXN00000259,1303.51,Ahmedabad,True,0,upi,desktop,1,9,23,Entertainment,1914,0,0
TXN00000260,1875.65,Ahmedabad,False,0,upi,mobile,0,6,16,Utilities,1116,0,0
TXN00000261,288.58,Ahmedabad,True,0,card,mobile,4,12,22,Grocery,1041,0,0
TXN00000262,749.3,Pune,False,0,wallet,mobile,2,14,0,Entertainment,93,0,0
TXN00000263,50.0,Hyderabad,True,0,netbanking,tablet,0,10,23,Fashion,1620,0,0
TXN00000264,259.25,Pune,True,0,wallet,mobile,0,6,9,Fashion,651,0,0
TXN00000265,605.94,Delhi,True,1,upi,mobile,1,8,13,Electronics,738,1,0
TXN00000266,202.77,Ahmedabad,True,0,upi,desktop,1,10,5,Food,1904,0,0
TXN00000267,4818.72,Pune,False,0,upi,desktop,3,6,0,Fashion,886,0,0
TXN00000268,165.91,Pune,True,0,upi,mobile,1,9,3,Utilities,1032,0,0
TXN00000269,493.03,Mumbai,False,0,upi,mobile,1,7,1,Fashion,104,1,1
TXN00000270,923.74,Chennai,True,0,card,tablet,2,10,22,Fashion,547,0,0
TXN00000271,3905.0,Pune,True,0,card,mobile,3,9,18,Electronics,332,0,0
TXN00000272,164.87,Hyderabad,True,0,wallet,mobile,0,13,18,Utilities,1093,0,0
TXN00000273,2875.82,Kolkata,True,1,wallet,mobile,2,6,17,Electronics,162,0,0
TXN00000274,809.06,Mumbai,True,0,upi,mobile,5,5,20,Grocery,183,0,1
TXN00000275,271.77,Kolkata,True,0,netbanking,mobile,3,5,15,Grocery,1509,0,0
TXN00000276,1329.99,Pune,False,0,card,desktop,0,10,11,Grocery,426,0,0
TXN00000277,995.83,Kolkata,True,0,card,mobile,1,12,8,Entertainment,496,1,0
TXN00000278,413.38,Ahmedabad,True,0,netbanking,desktop,1,4,19,Grocery,1223,0,0
TXN00000279,863.85,Delhi,True,0,upi,mobile,2,13,2,Fashion,1347,0,0
TXN00000280,523.62,Mumbai,True,0,netbanking,desktop,1,7,19,Entertainment,940,0,0
TXN00000281,906.4,Chennai,False,0,card,desktop,2,7,19,Travel,198,0,0
TXN00000282,1657.32,Mumbai,True,0,netbanking,desktop,1,6,16,Travel,429,0,0
TXN00000283,4578.97,Mumbai,True,0,wallet,desktop,4,13,23,Entertainment,1867,0,0
TXN00000284,205.0,Pune,True,0,card,desktop,2,8,2,Grocery,670,0,0
TXN00000285,8357.78,Chennai,False,0,upi,mobile,4,6,15,Utilities,707,0,0
TXN00000286,93.44,Hyderabad,True,0,upi,mobile,0,7,16,Food,160,0,0
TXN00000287,676.98,Bangalore,True,0,upi,mobile,1,7,18,Electronics,1694,0,0
TXN00000288,1528.07,Chennai,True,0,upi,desktop,4,4,12,Food,736,1,0
TXN00000289,1089.75,Bangalore,True,0,netbanking,mobile,3,9,9,Utilities,1542,0,0
TXN00000290,403.28,Bangalore,True,0,upi,mobile,3,11,0,Utilities,222,0,0
TXN00000291,636.3,Pune,True,0,wallet,mobile,1,7,20,Travel,1838,0,0
TXN00000292,465.13,Delhi,True,0,card,desktop,2,8,15,Entertainment,43,0,0
TXN00000293,418.35,Mumbai,True,0,upi,tablet,1,7,21,Electronics,947,0,0
TXN00000294,2036.88,Mumbai,True,0,card,desktop,2,9,20,Food,1869,0,0
TXN00000295,1184.8,Kolkata,True,0,card,mobile,0,8,16,Entertainment,1428,0,0
TXN00000296,373.31,Chennai,True,0,card,mobile,1,6,4,Electronics,481,0,0
TXN00000297,2152.04,Hyderabad,True,0,card,mobile,2,9,23,Entertainment,1153,0,0
TXN00000298,1121.75,Kolkata,True,0,upi,mobile,2,2,21,Entertainment,419,0,0
TXN00000299,1956.2,Chennai,True,0,card,mobile,0,11,19,Fashion,621,0,0
TXN00000300,1599.11,Mumbai,True,0,card,mobile,1,7,16,Entertainment,1818,0,0
TXN00000301,321.41,Hyderabad,True,0,netbanking,tablet,2,12,4,Grocery,1696,0,0
TXN00000302,431.99,Chennai,True,0,netbanking,mobile,2,12,22,Grocery,1986,0,0
